hash,message,.text,.data,.bss
1135f2d,exclude `scripts` from workspace,30858,438,9
e3bf322,`const` in some functions,30858,438,9
08ed715,formating,30858,438,9
f88bde1,implemented more than one `Arquivo de Eixo`,30846,438,9
3fbae9a,naming,29458,438,9
d78e489,minor change,29458,438,9
4ddeb00,minor change,29458,438,9
cb72ce6,removed unused code,29458,438,9
8b324d6,doc,29458,438,9
b53bb8c,Makefile new rule,29458,438,9
ca8b2c2,bug version,29458,438,9
2bf0a59,doc,29458,438,9
641e6df,refactor,29458,438,9
cf085f2,refactor,29458,438,9
7d22ba2,bug fix,29412,438,9
a5bf20c,doc: comments,29412,438,9
9d846cf,dependency: update,29412,438,9
6a6dbd1,doc,29412,438,9
0dd70ab,dependencies: update,29412,438,9
9870385,heapless dependency bump,29418,438,9
963cd36,"Revert ""Merge: Added `git submodules`""",29418,438,9
def1f13,refactor: simplification,29418,438,9
6e9c257,Makefile change (reenab format rule),29418,438,9
cd86faf,doc,29418,438,9
d551838,naming,29418,438,9
98b471e,propagation of `fatal_error`macro,29418,438,9
3808f04,introduced `fatal_error` macro,29418,438,9
bc2c931,small change,29418,438,9
dbcb71f,doc,29418,438,9
b705850,minor change,29418,438,9
94ae3eb,Naming convention.,29418,438,9
9ae87bf,Merge: Added `git submodules`,29418,438,9
f484461,tuning of workspace dependency,29418,438,9
ef1ed95,minor change in submodule,29418,438,9
8395750,cargo.toml config: heapless submodule,29418,438,9
e350f3d,added git submodule for `heapless` in the project,29418,438,9
0b9432c,update dependency version: `heapless`,29418,438,9
92f0e56,configured submodule in cargo.toml,29418,438,9
a27207c,added _git submodule_ for progmem-avr-rust.,29536,454,9
e90a030,refactor simplification,29536,454,9
351f2d4,"Revert ""partial solution""",29602,454,9
9bbced3,comment update,29838,454,9
808aa4d,removed some`cargo clippy` warnings,29838,454,9
7c4d891,partial solution,29838,454,9
5de4314,bug version,29602,454,9
5d9745d,menu_item_with_parameter initial experiment,29372,454,9
b64503d,prepare menu item building mechanism,29266,454,9
2f34c97,doc,29250,454,9
231e685,makefile rule improvement,29250,454,9
c8f70f4,removed automatic `format code` in the makefile,29250,454,9
0b732d4,readme.md resoving linting warnings,29250,454,9
6d5b9fb,`readme.md` added IDE config,29250,454,9
62880f9,naming,29250,454,9
9825ed3,naming: minor change,29250,454,9
1543993,bugfix: avoiding using generics.,29250,454,9
b016469,new MenuBuilder (BUGGY VERSION),32524,518,9
2ceaf88,format fix,30170,454,9
7415630,format,30170,454,9
45d0671,abstract peripherals creation,30170,454,9
815f3ac,removed unecessary code,30170,454,9
9873ae3,front panel abstracted to its own trait,30174,454,9
ffbd319,abstracted Keyboard into a trait,30174,454,9
a8f0f77,refactor: extract main_menu creation's code to a function,30174,454,9
5b50ed3,extract main_menu creation's code to a function,30174,454,9
5b3bf6f,refactor: extract app main loop to a function,30174,454,9
017bf43,refactor: adhere implementation to `Widget` trait,30026,454,9
0d77fdc,doc,30026,454,9
67e2d94,removed unused code,30026,454,9
698cf36,naming: `MenuProgramaView`to `MenuProgramaArena`,30026,454,9
938855c,refactor: Simplification by removing unecessary error code,30026,454,9
